Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-1027.06	-1238.083	211.0228	1.501173	0.128824	0.435424	0.408135	0.0276163	1.360029	3.151061
6	-1045.509	-1257.589	212.08	1.154824	0.109952	0.452321	0.348346	0.0893812	1.483559	2.627054
12	-1021.126	-1232.611	211.4848	1.572907	0.358918	0.277345	0.0950666	0.26867	1.922127	2.490875
18	-1010.021	-1223.584	213.5636	0.7161878	0.175331	0.332869	0.372972	0.118828	1.922127	1.658428
24	-1017.23	-1229.399	212.1688	1.44099	0.157765	0.618035	0.195709	0.0284908	2.003459	2.073174
30	-1025.053	-1235.076	210.023	4.986849	0.168495	0.14028	0.450808	0.240417	2.172703	1.972294
36	-1020.947	-1233.147	212.2003	2.83473	0.304029	0.19106	0.148264	0.356647	2.350181	1.017329
42	-1030.188	-1242.806	212.618	2.485789	0.223369	0.14324	0.108929	0.524463	2.366854	0.7784857
48	-1021.688	-1231.901	210.2129	7.329398	0.221514	0.227039	0.0520297	0.499417	2.179932	1.168352
54	-1031.262	-1242.623	211.3609	3.684772	0.258915	0.21076	0.0820023	0.448323	1.855629	1.697843
60	-1032.646	-1244.113	211.4671	3.598178	0.51525	0.165971	0.0854284	0.233351	1.816543	1.682861
66	-1028.713	-1238.267	209.5543	6.999769	0.249873	0.261691	0.120505	0.367931	1.737689	2.057626
72	-1021.199	-1233.403	212.2046	1.132451	0.147131	0.161801	0.584662	0.106405	1.687777	2.435495
78	-1032.636	-1245.391	212.7546	1.225766	0.298911	0.32433	0.226693	0.150066	1.875399	1.897658
84	-1033.61	-1246.638	213.0281	1.192309	0.153647	0.247289	0.416327	0.182737	1.968388	1.664653
90	-1025.379	-1237.751	212.3723	2.095053	0.379088	0.382148	0.163028	0.0757371	1.968388	1.596268
96	-1030.958	-1242.275	211.3176	2.381023	0.168181	0.238614	0.11511	0.478095	1.702785	2.348153
102	-1039.895	-1249.475	209.5799	3.003542	0.107361	0.388017	0.0905765	0.414046	1.687509	3.176901
108	-1028.508	-1235.054	206.5462	18.27469	0.218528	0.423286	0.268569	0.0896162	1.636991	2.356784
114	-1036.4	-1247.419	211.0186	1.195452	0.142615	0.142586	0.4256	0.289199	1.634669	3.154321
120	-1046.068	-1258.676	212.6082	1.195452	0.428854	0.0658233	0.0855202	0.419803	1.834277	2.0424
126	-1029.795	-1242.617	212.8226	0.8712094	0.367855	0.0614237	0.352139	0.218582	1.968918	2.023851
132	-1022.736	-1234.669	211.9336	1.345584	0.493084	0.101967	0.189105	0.215844	1.791695	2.4156
138	-1020.815	-1231.552	210.7376	1.345584	0.393545	0.0205127	0.237923	0.348019	1.723604	3.186008
144	-1031.065	-1242.363	211.2977	1.757485	0.220549	0.234096	0.249815	0.295541	1.610623	2.705586
150	-1021.287	-1232.638	211.3512	1.92857	0.355136	0.221534	0.0349498	0.38838	1.687764	2.542121
156	-1025.588	-1237.962	212.3739	0.7487768	0.421244	0.0853701	0.281668	0.211718	1.512156	2.681209
162	-1028.544	-1240.234	211.69	0.7487768	0.327054	0.156658	0.442329	0.073959	1.351772	3.190291
168	-1031.871	-1244.938	213.0664	0.8760283	0.390307	0.17055	0.35088	0.0882629	2.007354	1.82985
174	-1025.743	-1238.275	212.5323	2.463867	0.18293	0.167329	0.376341	0.2734	1.878621	1.346928
